system,li,ui,p95,count
bookstore_nodejs, 76.0, 80.0 , 76 , 1232
bookstore_nodejs, 3167.0, 3171.0 , 3169.5 , 1771
bookstore_nodejs, 203.0, 206.0 , 203.5 , 1759
bookstore_nodejs, 204.0, 209.0 , 205 , 1795
bookstore_nodejs, 544.0, 548.0 , 545 , 2191
bookstore_nodejs, 264.0, 281.0 , 271 , 2202
bookstore_nodejs, 213.0, 215.0 , 214.5 , 2248
bookstore_nodejs, 244.0, 247.0 , 245 , 2311
bookstore_nodejs, 72.0, 74.0 , 72 , 2316
bookstore_nodejs, 79.0, 81.0 , 80 , 2377
bookstore_nodejs, 100.0, 101.0 , 100.5 , 2343
bookstore_nodejs, 300.0, 302.0 , 300.5 , 2286
bookstore_nodejs, 88.0, 90.0 , 88.5 , 2289
bookstore_nodejs, 159.0, 160.0 , 159 , 1894
bookstore_nodejs, 1616.0, 1649.0 , 1636.5 , 1895
bookstore_nodejs, 1660.0, 1832.0 , 1812 , 1935
bookstore_nodejs, 89.0, 89.0 , 89 , 2391
bookstore_nodejs, 14.0, 14.0 , 14 , 2408
bookstore_nodejs, 17.0, 17.0 , 17 , 2478
bookstore_nodejs, 99.0, 101.0 , 99.5 , 2395
bookstore_nodejs, 14.0, 14.0 , 14 , 2398
bookstore_nodejs, 19.0, 19.0 , 19 , 2477
bookstore_nodejs, 10462.0, 10480.0 , 10463 , 640
bookstore_nodejs, 30.0, 30.0 , 30 , 618
bookstore_nodejs, 35.0, 35.0 , 35 , 628
bookstore_nodejs, 3167.0, 3171.0 , 3169.5 , 1771
bookstore_nodejs, 203.0, 206.0 , 203.5 , 1759
bookstore_nodejs, 204.0, 209.0 , 205 , 1795
bookstore_nodejs, 275.0, 277.0 , 275 , 2252
bookstore_nodejs, 174.0, 183.0 , 175 , 2262
bookstore_nodejs, 175.0, 180.0 , 176 , 2328
bookstore_nodejs, 216.0, 218.0 , 217 , 2254
bookstore_nodejs, 210.0, 214.0 , 211 , 2266
bookstore_nodejs, 202.0, 205.0 , 202.5 , 2324
bookstore_nodejs, 30.0, 30.0 , 30 , 618
bookstore_nodejs, 35.0, 35.0 , 35 , 628
bookstore_nodejs, 10462.0, 10480.0 , 10463 , 640
bookstore_nodejs, 6138.0, 6159.0 , 6153.5 , 1214
bookstore_nodejs, 95.0, 97.0 , 96 , 1214
bookstore_nodejs, 76.0, 80.0 , 76 , 1232
bookstore_nodejs, 203.0, 206.0 , 203.5 , 1759
bookstore_nodejs, 204.0, 209.0 , 205 , 1795
bookstore_nodejs, 3167.0, 3171.0 , 3169.5 , 1771
bookstore_nodejs, 544.0, 548.0 , 545 , 2191
bookstore_nodejs, 264.0, 281.0 , 271 , 2202
bookstore_nodejs, 213.0, 215.0 , 214.5 , 2248
bookstore_nodejs, 72.0, 74.0 , 72 , 2316
bookstore_nodejs, 79.0, 81.0 , 80 , 2377
bookstore_nodejs, 244.0, 247.0 , 245 , 2311
bookstore_nodejs, 10462.0, 10480.0 , 10463 , 640
